Names,PE,DY
Name,9.3,0.0756
ALLIED BANK,10.9,0.0856
MCB BANK,20.7,0.0351
ABBOTT LABS.(PAK.),10.4,0.0658
ADAMJEE INSURANCE COMPANY,17.6,0
AGP,6.4,0.0535
AGRIAUTO INDUSTRIES,10.6,0.0811
ARCHROMA PAKISTAN,5.5,0.0869
ASKARI BANK,10.3,0.0627
ATLAS HONDA,8.1,0.0767
ATTOCK PETROLEUM,15.39,0.0495
ATTOCK REFINERY,10.8,0.0303
BANK AL HABIB,7.1,0.055
BANK AL-FALAH LIMITED,26.3,0.0536
BANNU WOOLLEN MILLS,4.4,0.1088
BESTWAY CEMENT,17.4,0
BYCO PETROLEUM PAKISTAN,4.9,0.0991
CHERAT CEMENT COMPANY,34.1,0.017
COLGATE-PALMOLIVE PAKISTAN,4.7,0.057
D G KHAN CEMENT COMPANY,4.1,0.082
DAWOOD HRC.CHEMS.CORP.,3.6,0.1125
DOLMEN CITY,11.1,0.098
EFU GENERAL INSURANCE,13,0.0667
ENGRO,5.4,0.1558
ENGRO FERTILIZERS,720.1,0.0067
ENGRO FOODS,5.1,0.0349
ENGRO POLYMER & CHEMICALS,5.1,0.0602
FATIMA FERTILIZER,5.8,0.1042
FAUJI CEMENT COMPANY,7.7,0.0885
FAUJI FERTILIZER COMPANY,18.9,0.0553
FAUJI FOODS,6.6,0.043
FAUJI FTLZ.BIN QASIM,7.2,0.122
FAYSAL BANK,4.7,0.0681
FIRST HABIB MODARABA,6.7,0.1025
GADOON TEXTILE MILLS,16.7,0.094
GHANI GLASS,31.4,0.0174
GLAXOSMITHKLINE PAK.,5.1,0.0478
GLXSK.CSM.HLTHCR. PAK.,14.9,0.0346
GUL AHMED TEXTILE MILLS,6,0.0507
HABIB BANK,87.5,0.0421
HABIB METROPOLITAN BANK,7,0.1143
HASCOL PETROLEUM,7.5,0.025
HONDA ATLAS CARS (PAKISTAN),23.6,0.0206
IBRAHIM FIBRES,13,0.0326
ICI PAKISTAN,6.5,0.1071
IGI HOLDINGS,4.4,0.0804
INDUS MOTOR COMPANY,6.3,0.079
INTERNATIONAL INDS.,9.2,0.0505
INTERNATIONAL STEELS,4.2,0.1054
JUBILEE LIFE INSURANCE COMPANY,5.5,0.0489
KARACHI ELECTRIC SUPP.,3.7,0.0482
KOHAT CEMENT COMPANY,2.4,0.2222
KOHINOOR TEXTILE MILLS,4.7,0.1085
KOT ADDU POWER COMPANY,9.4,0.0514
LOTTE CHEMICAL PAKISTAN,5.1,0.0806
LUCKY CEMENT,7.4,0.0052
MAPLE LEAF CEMENT FACTORY,12.5,0.0352
MARI PETROLEUM COMPANY,9.4,0.119
MEEZAN BANK,16.1,0.0357
MILLAT TRACTORS,4.1,0.1945
MURREE BREWERY COMPANY,15.8,0.0174
NAT.BANK OF PAKISTAN,6.74,0.0701
NATIONAL FOODS,30.5,0.0319
NATIONAL REFINERY,2,0.0784
NESTLE PAKISTAN,1.9,0.0984
NISHAT CHUNIAN,5.8,0.0395
NISHAT CHUNIAN POWER,6.2,0.0774
NISHAT MILLS,11.4,0.1048
OIL & GAS DEVELOPMENT COMPANY,4.8,0.0485
ORIX LEASING PAKISTAN,7.4,0.133
PACKAGES,13.7,0.0146
PAK ELEKTRON,7.8,0.1142
PAK SUZUKI MOTOR,8.5,0.092
PAK.TELECM.CO.,7.4,0.0272
PAKISTAN INTL.BULK,6.9,0.0635
PAKISTAN OIL FIELDS,271.1,0.0165
PAKISTAN PETROLEUM,64.6,0.0149
PAKISTAN SERVICES,2376.3,0.0037
PAKISTAN STATE OIL COMPANY,4.7,0.1362
PAKISTAN STOCK EXCHANGE LTD.,3,0.1311
PAKISTAN TOBACCO COMPANY,11.9,0.0405
PHILIP MORRIS PAKISTAN,25.4,0.02
PIONEER CEMENT,23.5,0.0191
SAIF POWER,7.2,0.1071
SERVICE INDUSTRIES,5,0.0897
SHAKARGANJ SUGAR,11.4,0.1179
SHELL PAKISTAN,15.2,0.0184
SHIFU INTL HOSPITAL,9.4,0.037
STANDARD CHARTERED BANK (PAKISTAN),4.4,0.0602
SUI NORTHERN GAS PIPELINES,8,0.0964
SUI SOUTHERN GAS COMPANY,18.8,0.0503
SEARL,10.6,0.0822
UBL,,
