,symbol,name
0,ABL,ALLIED BANK
1,MCB,MCB BANK
2,ABOT,ABBOTT LABS.(PAK.)
3,AICL,ADAMJEE INSURANCE COMPANY
4,AGP,AGP
5,AGIL,AGRIAUTO INDUSTRIES
6,ARPL,ARCHROMA PAKISTAN
7,AKBL,ASKARI BANK
8,ATLH,ATLAS HONDA
9,APL,ATTOCK PETROLEUM
10,ATRL,ATTOCK REFINERY
11,BAHL,BANK AL HABIB
12,BAFL,BANK AL-FALAH LIMITED
13,BNWM,BANNU WOOLLEN MILLS
14,BWCL,BESTWAY CEMENT
15,BYCO,BYCO PETROLEUM PAKISTAN
16,CHCC,CHERAT CEMENT COMPANY
17,COLG,COLGATE-PALMOLIVE PAKISTAN
18,DGKC,D G KHAN CEMENT COMPANY
19,DAWH,DAWOOD HRC.CHEMS.CORP.
20,DCR,DOLMEN CITY
21,EFUG,EFU GENERAL INSURANCE
22,ENGRO,ENGRO
23,EFERT,ENGRO FERTILIZERS
24,EFOODS,ENGRO FOODS
25,EPCL,ENGRO POLYMER & CHEMICALS
26,FATIMA,FATIMA FERTILIZER
27,FCCL,FAUJI CEMENT COMPANY
28,FFC,FAUJI FERTILIZER COMPANY
29,FFL,FAUJI FOODS
30,FFBL,FAUJI FTLZ.BIN QASIM
31,FABL,FAYSAL BANK
32,FHAM,FIRST HABIB MODARABA
33,GADT,GADOON TEXTILE MILLS
34,GHGL,GHANI GLASS
35,GLAXO,GLAXOSMITHKLINE PAK.
36,GSKCH,GLXSK.CSM.HLTHCR. PAK.
37,GATM,GUL AHMED TEXTILE MILLS
38,HBL,HABIB BANK
39,HMB,HABIB METROPOLITAN BANK
40,HASCOL,HASCOL PETROLEUM
41,HCAR,HONDA ATLAS CARS (PAKISTAN)
42,IBFL,IBRAHIM FIBRES
43,ICI,ICI PAKISTAN
44,IGIHL,IGI HOLDINGS
45,INDU,INDUS MOTOR COMPANY
46,INIL,INTERNATIONAL INDS.
47,ISL,INTERNATIONAL STEELS
48,JLICL,JUBILEE LIFE INSURANCE COMPANY
49,KEL,KARACHI ELECTRIC SUPP.
50,KOHC,KOHAT CEMENT COMPANY
51,KTML,KOHINOOR TEXTILE MILLS
52,KAPCO,KOT ADDU POWER COMPANY
53,LOTCHEM,LOTTE CHEMICAL PAKISTAN
54,LUCK,LUCKY CEMENT
55,MLCF,MAPLE LEAF CEMENT FACTORY
56,MARI,MARI PETROLEUM COMPANY
57,MEBL,MEEZAN BANK
58,MTL,MILLAT TRACTORS
59,MUREB,MURREE BREWERY COMPANY
60,NBP,NAT.BANK OF PAKISTAN
61,NATF,NATIONAL FOODS
62,NRL,NATIONAL REFINERY
63,NESTLE,NESTLE PAKISTAN
64,NCL,NISHAT CHUNIAN
65,NCPL,NISHAT CHUNIAN POWER
66,NML,NISHAT MILLS
67,OGDC,OIL & GAS DEVELOPMENT COMPANY
68,OLPL,ORIX LEASING PAKISTAN
69,PKGS,PACKAGES
70,PAEL,PAK ELEKTRON
71,PSMC,PAK SUZUKI MOTOR
72,PTC,PAK.TELECM.CO.
73,PIBTL,PAKISTAN INTL.BULK
74,POL,PAKISTAN OIL FIELDS
75,PPL,PAKISTAN PETROLEUM
76,PSEL,PAKISTAN SERVICES
77,PSO,PAKISTAN STATE OIL COMPANY
78,PSX,PAKISTAN STOCK EXCHANGE LTD.
79,PAKT,PAKISTAN TOBACCO COMPANY
80,PMPK,PHILIP MORRIS PAKISTAN
81,PIOC,PIONEER CEMENT
82,SPWL,SAIF POWER
83,SRVI,SERVICE INDUSTRIES
84,SML,SHAKARGANJ SUGAR
85,SHEL,SHELL PAKISTAN
86,SHFA,SHIFU INTL HOSPITAL
87,SCBPL,STANDARD CHARTERED BANK (PAKISTAN)
88,SNGP,SUI NORTHERN GAS PIPELINES
89,SSGC,SUI SOUTHERN GAS COMPANY
90,SYS,SYSTEMS
91,THALL,THAL
92,BOP,THE BANK OF PUNJAB
93,HUBC,THE HUB POWER COMPANY
94,SEARL,THE SEARLE COMPANY
95,TRG,TRG PAKISTAN
96,UBL,UNITED BANK
